stock,variable,year,mean,sd,lower,upper,status
Coryphaena hippurus,b_div_bmsy,2019,1.65622488700677,0.0828816687314409,1.44360427744078,1.8732090622986,Underfished
Mugil cephalus,b_div_bmsy,2019,1.3865850530403,0.0570369567842735,1.26102548832521,1.51973978793066,Underfished
Panulirus argus,b_div_bmsy,2019,1.71076945513496,0.0951718012552328,1.46323671391969,1.98340102159216,Underfished
Thunnus atlanticus,b_div_bmsy,2019,0.000874555915406138,9.74694004564928,1.23237377859772e-10,2.29549692328479,Overfished
